ABEL  MESQUITA  JR.  ,(DEM-RR.),"Sr.  Presidente,  Sras.  e  Srs. Deputados, pela estabilidade econômica e a volta do pleno emprego, eu voto “sim”.",YES
CARLOS  ANDRADE  ,(PHS-RR.),"Sr.  Presidente,  Sras.  e  Srs. Deputados, eu voto “não”.",NO
EDIO LOPES ,(PR-RR.),"Sr. Presidente, o Deputado Edio Lopes vota favoravelmente ao relatório do PSDB, ao relatório do Deputado Paulo Abi-Ackel.",YES
HIRAN  GONÇALVES  ,(PP-RR.),"Sr.  Presidente,  com  muita serenidade e convicção, voto a favor do relatório do Deputado Paulo Abi-Ackel. Não  que  isso  signifique  uma  apologia  à  criminalidade;  eu  acho  que  o Presidente, depois  de  terminado o mandato,  deve  responder pelas  acusações  que lhe são imputadas.",YES
JHONATAN  DE  JESUS  ,(PRB-RR.),"Sr.  Presidente,  Sras.  e  Srs. Deputados, eu voto “sim” ao relatório do Deputado Paulo Abi-Ackel.",YES
MARIA HELENA ,(PSB-RR.),"Sr. Presidente, eu não sou a favor da impunidade e nem contra a investigação, mas, pela estabilidade econômica do País, entendo que ela deva acontecer após o término do mandato do Presidente Temer. Portanto, voto “sim”.",YES
REMÍDIO MONAI ,(PR-RR.),"Sr. Presidente, pela estabilidade política e econômica e em respeito ao meu partido, eu voto “sim”.",YES
AFONSO  HAMM  ,(PP-RS.),"Presidente,  com  convicção,  com responsabilidade, pelo povo brasileiro, eu voto “não” ao relatório e a favor de que a investigação prossiga pelo Supremo Tribunal Federal.",NO
AFONSO  MOTTA  ,(PDT-RS.),"Voto  “não”  ao  parecer.  Investigar  é preciso. Esta é a posição do PDT.",NO
ALCEU  MOREIRA  ,(PMDB-RS.),"Por  absoluta  falta  de  provas  numa uma acusação inepta e irresponsável; a favor de quem trabalha, luta e produz neste País, eu voto “sim”.",YES
BOHN  GASS  ,(PT-RS.),"Temer  é  corrupto  e  precisa  acertar  essas contas com a Justiça. O Brasil não pode mais continuar sendo governado por essa quadrilha. Eu  voto  contra  esse  relatório,  porque  ele  coloca  a  sujeirada  embaixo  do tapete...",NO
CAJAR NARDES ,(PR-RS.),"Sr. Presidente, trocar de Governo agora quebraria muitas milhares de micro e pequenas empresas, acarretando uma grande perda de empregos para o nosso País. O  cidadão  Michel  Temer  responderá  pelos  seus atos no dia 1º de fevereiro de 2019. Portanto, eu voto “sim”.",YES
ANTONIO  CARLOS  MENDES  THAME  ,(PV-SP.),"Votamos  contra  a corrupção,  a  favor  da  continuidade  das  denúncias,  contra  o  relatório  que  veio  da Comissão de Constituição e Justiça e de Cidadania.",NO
COVATTI FILHO ,(PP-RS.),"“Sim”.",YES
DANRLEI DE DEUS HINTERHOLZ ,(PSD-RS.),"Meu voto é “não”.",NO
DARCÍSIO  PERONDI  ,(PMDB-RS.),"Pela  honra,  pela  integridade  do Presidente  Michel,  e contra  a  “privilegiatura”  pública  que  enterra o  País,  “sim”, Sr. Presidente.",YES
HEITOR  SCHUCH  ,(PSB-RS.),"Sr.  Presidente, eu  voto pela  abertura da investigação. Portanto, “não” ao parecer do Relator.",NO
HENRIQUE  FONTANA  ,(PT-RS.),"Pela  dignidade  do  povo  brasileiro, que é honrado, justo e trabalhador; contra a hipocrisia e o cinismo dos que querem proteger Temer e seu Governo corrupto e ilegítimo, eu voto “não”, ao lado de 90% dos brasileiros. Nós haveremos de vencer!",NO
JERÔNIMO GOERGEN ,(PP-RS.),"Voto “não”, Sr. Presidente.",NO
JOÃO  DERLY  ,(REDE-RS.),"Pela  gravidade  dos  fatos,  pela contundência  das  provas  —  a  mala  e  o  áudio  —  e  a  favor  da  denúncia,  eu  voto “não”, contrário ao relatório do Deputado Paulo Abi-Ackel.",NO
JOSÉ  FOGAÇA  ,(PMDB-RS.)  ,"Sr.  Presidente,  é  a  terceira  vez  na minha vida parlamentar que eu tenho que julgar um Presidente da República. Como  o  Sr.  Procurador-Geral  da  República  disse  que  a  investigação continuará, o meu voto é “sim”.",NO
JOSÉ OTÁVIO GERMANO ,(PP-RS.),"O voto é “sim”. “Sim” ao parecer do Deputado Paulo Abi-Ackel.",YES
JOSE  STÉDILE  ,(PSB-RS.),"O  meu  voto  não  está  à  venda.  Vou cumprir com dignidade a minha função de fiscalizar o Governo, independentemente de ser situação ou oposição. Em nome dos trabalhadores, dos pequenos e médios empresários, contra a reforma da Previdência, voto “não”.",NO
LUIS CARLOS HEINZE ,(PP-RS.),"“Não”, Sr. Presidente.",NO
MARCO MAIA ,(PT-RS.),"Eu vou votar pelo conjunto da obra: contra a reforma  da  Previdência,  contra  a  reforma  trabalhista,  contra  o  congelamento  dos gastos  públicos,  contra  a  terceirização  indiscriminada,  o  meu  voto  é  “não”  a  este relatório.",NO
MARCON ,(PT-RS.),"Eu vou votar pelo afastamento desse Presidente Michel  Temer,  do  PMDB,  por  corrupção,  por  ser  golpista.  Vou  votar  contra  as reformas. A pedido da Justiça Federal, o meu voto é “não”.",NO
MARIA DO ROSÁRIO ,(PT-RS.),"O meu voto é contra a corrupção, é contra Temer, é pela decência, é pelas diretas já! O meu voto é pela educação, pela saúde  pública,  pela  infância  brasileira,  pelas  mulheres  e  contra  a  reforma  da Previdência. Fora, Temer e diretas já! Votar contra é “não” a Temer e “não” ao relatório! Muito obrigada.",NO
MAURO  PEREIRA  ,(PMDB-RS.),"Sr. Presidente,  eu voto “sim”, pela continuidade  da  economia,  para  que  as  coisas  continuem  melhorando,  para  que  o Brasil entre nos trilhos de vez. E por mais um motivo justo: eu não fico do lado do PT, do PCdoB, da Rede, do PSOL. Eu fico do lado do Brasil. Fora PT! Fora Lula! Fora essa cambada que quebrou o Brasil!",YES
ONYX  LORENZONI  ,(DEM-RS.),"Sr.  Presidente,  a  maioria  dos brasileiros  crê  e  tem  fé.  O  apóstolo  João  disse:  “E  conhecereis  a  verdade  e  a verdade vos libertarás.” E o único caminho para o Brasil se libertar é a verdade.  Portanto, voto “não” ao relatório e “sim” às investigações.",NO
OSMAR TERRA ,(PMDB-RS.),"Sr. Presidente, eu voto pela mudança que  está  acontecendo  na  trajetória,  na  tragédia  que  havia  neste  País:  tragédia  de corrupção,  tragédia  de  desmandos  na  economia,  tragédia  de  desemprego  em massa,  que  estava  acontecendo  no  Governo  e  voto  pelo  esforço  que  estamos fazendo para reconstruir um País melhor. Voto “sim”.",YES
PAULO  PIMENTA  ,(PT-RS.),"Contra  a  corrupção,  para  que  sejam investigados  Michel  Temer  e  essa  quadrilha  que  tomou  de  assalto  o  Palácio  do Planalto; contra a hipocrisia e o cinismo, eu voto “não”. (Palmas.)",NO
PEPE  VARGAS  ,(PT-RS.),"Eu  voto  a  favor  do  povo  brasileiro;  voto contra o Governo ilegítimo do Temer; voto contra a reforma da Previdência e contra a reforma trabalhista. Eu voto contra o arquivamento dessa denúncia. Fora, Temer! Diretas já! Deixem o povo brasileiro escolher o seu Governo.",NO
POMPEO DE MATTOS ,(PDT-RS.),"Sr. Presidente, eu já disse aqui ao microfone: nem Dilma, nem Temer, nem Cunha. Agora  chegou  a  vez  do  Temer.  As  denúncias  são  graves.  Não  são  ilações. São denúncias profundas, e não dá para esconder e nem tapar o sol com a peneira, e nem obstruir a Justiça. Contra a reforma da Previdenciária, voto contra o Temer: “não”.",NO
RENATO MOLLING ,(PP-RS.),"Recuperar um país quebrado e uma  cidade  quebrada  depois  do  PT  é  muito  difícil.  Agora  as  coisas  já  estão melhorando. Por isso eu voto “sim”.",YES
RONALDO NOGUEIRA ,(PTB-RS.),"Pela preservação da ordem constitucional,  pelo  progresso  do  Brasil  e  pela  recuperação  do  emprego,  eu  voto “sim”, Sr. Presidente.",YES
SÉRGIO MORAES ,(PTB-RS.),"Sr. Presidente, o País não tem como trocar três vezes de Presidente até o final do mandato. O Temer vai continuar sendo investigado depois, porque não cessa a investigação. Por isso eu voto “sim” ao relatório.",YES
YEDA  CRUSIUS  ,(PSDB-RS.),"Eu  voto  “sim”  ao  relatório  do Deputado Abi-Ackel.",YES
CARLOS GOMES ,(PRB-RS.),"Sr. Presidente, este é um voto para que o nosso Presidente possa ter a oportunidade de se defender e mostrar a sua lisura. Eu voto “não” ao parecer.",NO
CARMEN ZANOTTO ,(PPS-SC.),"Sr. Presidente, pela autorização da investigação, voto “não” ao parecer do Relator.",NO
CELSO MALDANER ,(PMDB-SC.),"Sr. Presidente, pelo nosso Brasil, eu voto “sim”.",YES
MARA GABRILLI  ,(PSDB-SP.),"Sr. Presidente, como ninguém está acima da lei, eu voto “não”.",NO
CESAR SOUZA ,(PSD-SC.),"Sr. Presidente, a favor do Brasil, a favor do desenvolvimento e da geração de empregos, eu voto “sim”, com o Relator.",YES
