player,year,matches_on_year,matches_total,goals_on_year,goals_total,years_on_team
Pelé,1957,0,0,0,0,0
Pelé,1957,2,2,2,2,1
Pelé,1958,7,9,9,11,2
Pelé,1959,9,18,11,22,3
Pelé,1960,6,24,4,26,4
Pelé,1961,0,24,0,26,5
Pelé,1962,8,32,8,34,6
Pelé,1963,7,39,7,41,7
Pelé,1964,3,42,2,43,8
Pelé,1965,8,50,9,52,9
Pelé,1966,9,59,5,57,10
Pelé,1967,0,59,0,57,11
Pelé,1968,7,66,4,61,12
Pelé,1969,9,75,7,68,13
Pelé,1970,15,90,8,76,14
Pelé,1971,2,92,1,77,15
Ronaldo,1994,0,0,0,0,0
Ronaldo,1994,4,4,1,1,1
Ronaldo,1995,7,11,3,4,2
Ronaldo,1996,5,16,4,8,3
Ronaldo,1997,20,36,15,23,4
Ronaldo,1998,11,47,5,28,5
Ronaldo,1999,11,58,9,37,6
Ronaldo,2002,13,71,11,48,7
Ronaldo,2003,8,79,3,51,8
Ronaldo,2004,12,91,8,59,9
Ronaldo,2005,5,96,1,60,10
Ronaldo,2006,8,104,7,67,11
Ronaldo,2011,1,105,0,67,12
Zico,1976,0,0,0,0,0
Zico,1976,11,11,7,7,1
Zico,1977,11,22,9,16,2
Zico,1978,18,40,9,25,3
Zico,1979,6,46,7,32,4
Zico,1980,6,52,6,38,5
Zico,1981,13,65,14,52,6
Zico,1982,11,76,8,60,7
Zico,1983,2,78,0,60,8
Zico,1984,0,78,0,60,9
Zico,1985,5,83,3,63,10
Zico,1986,5,88,3,66,11
Zico,1989,1,89,0,66,12
Romário,1987,0,0,0,0,0
Romário,1987,6,6,4,4,1
Romário,1988,7,13,2,6,2
Romário,1989,11,24,4,10,3
Romário,1990,1,25,0,10,4
Romário,1992,2,27,0,10,5
Romário,1993,1,28,2,12,6
Romário,1994,10,38,10,22,7
Romário,1997,17,55,19,41,8
Romário,1998,7,62,3,44,9
Romário,2000,2,64,7,51,10
Romário,2001,5,69,3,54,11
Romário,2005,1,70,1,55,12
Neymar,2010,0,0,0,0,0
Neymar,2010,2,2,1,1,1
Neymar,2011,13,15,7,8,2
Neymar,2012,12,27,9,17,3
Neymar,2013,19,46,10,27,4
Neymar,2014,14,60,15,42,5
Neymar,2015,9,69,4,46,6
Neymar,2016,6,75,4,50,7
Neymar,2017,6,81,2,52,8
Bebeto,1985,0,0,0,0,0
Bebeto,1985,6,6,0,0,1
Bebeto,1986,0,6,0,0,2
Bebeto,1987,0,6,0,0,3
Bebeto,1988,0,6,0,0,4
Bebeto,1989,18,24,10,10,5
Bebeto,1990,3,27,0,10,6
Bebeto,1991,5,32,0,10,7
Bebeto,1992,8,40,7,17,8
Bebeto,1993,9,49,7,24,9
Bebeto,1994,11,60,8,32,10
Bebeto,1995,2,62,2,34,11
Bebeto,1996,1,63,1,35,12
Bebeto,1997,3,66,1,36,13
Bebeto,1998,9,75,3,39,14
Rivaldo,1993,0,0,0,0,0
Rivaldo,1993,1,1,1,1,1
Rivaldo,1994,1,2,0,1,2
Rivaldo,1995,5,7,1,2,3
Rivaldo,1996,2,9,2,4,4
Rivaldo,1997,4,13,1,5,5
Rivaldo,1998,12,25,5,10,6
Rivaldo,1999,13,38,8,18,7
Rivaldo,2000,11,49,8,26,8
Rivaldo,2001,8,57,3,29,9
Rivaldo,2002,10,67,5,34,10
Rivaldo,2003,7,74,1,35,11
Ademir de Menezes,1945,0,0,0,0,0
